country_name,IMR(per 1000 five-years-old children)
Nigeria,117.2
Somalia,117.0
Chad,113.8
Central African Republic,110.1
Sierra Leone,109.2
Guinea,98.8
South Sudan,96.2
Mali,94.0
Benin,90.3
Burkina Faso,87.5
Lesotho,86.4
DR Congo,84.8
Liberia,84.6
Equatorial Guinea,81.8
Niger,80.4
Ivory Coast,79.3
Guinea-Bissau,78.5
Cameroon,74.8
Angola,74.7
Mozambique,74.2
Mauritania,72.9
Pakistan,67.2
Togo,66.9
Comoros,62.9
Haiti,62.8
Zambia,61.7
Afghanistan,60.3
Sudan,58.4
Yemen,58.4
Djibouti,57.5
Burundi,56.5
Zimbabwe,54.6
Gambia,51.7
Kiribati,50.9
Ethiopia,50.7
Madagascar,50.6
Tanzania,50.3
Eswatini (Swaziland),49.4
Congo,47.8
Ghana,46.2
Uganda,45.8
Laos,45.5
Senegal,45.3
Papua New Guinea,44.8
Myanmar,44.7
East Timor,44.2
Kenya,43.2
Gabon,42.5
Namibia,42.4
Turkmenistan,42.0
Botswana,41.6
Malawi,41.6
Eritrea,40.5
Dominica,34.7
South Africa,34.5
India,34.3
Rwanda,34.3
Tajikistan,33.8
Marshall Islands,31.8
Nauru,30.9
Bangladesh,30.8
Nepal,30.8
São Tomé and Príncipe,29.8
Micronesia,29.4
Guyana,29.3
Bhutan,28.5
Dominican Republic,28.0
Philippines,27.3
Cambodia,26.6
Bolivia,26.0
Iraq,25.9
Vanuatu,25.9
Fiji,25.7
Guatemala,24.5
Venezuela,24.2
Indonesia,23.9
Tuvalu,23.9
Algeria,23.3
Saint Lucia,22.3
Syria,21.5
Morocco,21.4
Azerbaijan,20.4
Egypt,20.3
Vietnam,19.9
Solomon Islands,19.7
Paraguay,19.4
West Bank,19.4
Kyrgyzstan,18.3
Suriname,18.0
Trinidad and Tobago,17.5
Uzbekistan,17.4
North Korea,17.3
Palau,17.3
Tunisia,16.9
Honduras,16.8
Nicaragua,16.6
Tonga,16.6
Grenada,16.5
Mauritius,16.0
Jordan,15.6
Mongolia,15.6
Saint Kitts and Nevis,15.4
Samoa,15.0
Cape Verde,14.9
Panama,14.9
Saint Vincent and the Grenadines,14.6
Moldova,14.4
Mexico,14.2
Seychelles,14.2
Ecuador,14.0
Iran,13.9
Jamaica,13.9
Colombia,13.8
El Salvador,13.3
Peru,13.2
Barbados,12.7
Bahamas,12.6
Belize,12.3
Armenia,11.8
Libya,11.5
Brunei,11.4
Oman,11.4
Brazil,11.0
Kazakhstan,10.5
Turkey,10.0
Albania,9.7
Georgia,9.6
Argentina,9.3
Thailand,9.0
Costa Rica,8.6
Malaysia,8.6
Ukraine,8.4
China,7.9
Kuwait,7.9
Maldives,7.6
United Arab Emirates,7.5
Lebanon,7.2
Sri Lanka,7.1
Uruguay,7.1
Chile,7.0
Malta,7.0
Romania,7.0
Bahrain,6.9
Bulgaria,6.7
Antigua and Barbuda,6.6
Saudi Arabia,6.6
Qatar,6.5
United States,6.5
North Macedonia,6.1
Bosnia and Herzegovina,5.9
Russia,5.8
Slovakia,5.8
Serbia,5.3
Cuba,5.1
Canada,4.9
Croatia,4.8
New Zealand,4.7
France,4.5
Poland,4.4
United Kingdom,4.3
Netherlands,4.0
Switzerland,4.0
Denmark,3.8
Germany,3.8
Greece,3.8
Hungary,3.7
Israel,3.7
Lithuania,3.7
Portugal,3.7
Australia,3.6
Latvia,3.6
Austria,3.5
Belgium,3.4
Ireland,3.3
Belarus,3.2
Czech Republic,3.2
South Korea,3.2
Italy,3.1
Monaco,3.1
Spain,3.1
Andorra,3.0
Luxembourg,2.8
Sweden,2.6
Japan,2.5
Singapore,2.5
Estonia,2.4
Finland,2.4
Norway,2.4
Cyprus,2.3
Montenegro,2.3
Slovenia,2.1
Iceland,2.0
San Marino,1.7
